FarmName,Date,Activity,tillage,DAP,MOP,SEED,GERMINATION VALUE,Channels Constructed,Sprinker installed,Irrigation Done
Rajendra Plot-3,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,8.25 kg,8.25 kg,6.630kg,,,,
Rajendra Plot-4,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,12.800kg,12.800kg,10.22kg,,,,
Rajendra Plot-5,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,2.75 kg,2.75 kg,2.165kg,,,,
Rajendra Plot-6,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,1.94 kg,1.94 kg,1.55kg,,,,
Rajendra Plot-7,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.40 kg,4.40 kg,3.230kg,,,,
Rajendra Plot-8,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.450kg,4.450kg,3.5 kg,,,,
Dinesh plot-1,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,21.750kg,21.750kg,21.71 kg,,,,
Dinesh plot-2,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,5 kg,5 kg,3.350 kg,,,,
Jay Dev Plot 1,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.85 kg,4.85 kg,3.84 kg,,,,
Jay Dev Plot 2,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,5 kg,5 kg,4.390 kg,,,,
Jay Dev Plot 3,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,11.80kg,11.80kg,9.41kg,,,,
Dev Prakash Plot 1,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,13 kg,13 kg,10.41kg,,,,
Dev Prakash Plot 2,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,8 kg,8 kg,6.4 kg,,,,
Dev Prakash Plot 3,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,9 kg,9 kg,7.2 kg,,,,
Dev Prakash Plot 4,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,28 kg,28 kg,23 kg,,,,
Mahendra Plot 1,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,20 kg,20 kg,16 kg,,,,
Rajendra Plot-4,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,12.800 Kg,12.800 kg,10.22kg,,,,
Rajendra Plot-5,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,2.75 kg,2.75 kg,2.165kg,,,,
Rajendra Plot-6,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,1.94 kg,1.94 kg,1.55kg,,,,
Rajendra Plot-7,20/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.40 kg,4.40 kg,3.230kg,,,,
Charan Das Plot 1,22/05/2024,Field Visit,,,,,40 %,Gully Channel constructed,,
Charan Das Plot 2,22/05/2024,Field Visit,,,,,40 %,Gully Channel constructed,,
Charan Das Plot 3,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 4,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 5,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 6,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 7,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 8,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 9,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 10,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 11,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 12,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 13,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 14,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 15,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 16,22/05/2024,Field Visit,,,,,20 -30 %,Gully Channel constructed,,
Charan Das Plot 17,22/05/2024,Field Visit,,,,,No Germination,Gully Channel constructed,,
Charan Das Plot 18,22/05/2024,Field Visit,,,,,No Germination,Gully Channel constructed,,
Charan Das Plot 19,22/05/2024,Field Visit,,,,,No Germination,Gully Channel constructed,,
Charan Das Plot 20,22/05/2024,Field Visit,,,,,No Germination,Gully Channel constructed,,
Rakesh Plot 1,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 2,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 3,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 4,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 5,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 6,22/05/2024,Field Visit,,,,,No Germination,,,
Rakesh Plot 7,22/05/2024,Field Visit,,,,,No Germination,,,
Jay Dev Plot 1,22/05/2024,Field Visit,,,,,No Germination,,,
Jay Dev Plot 2,22/05/2024,Field Visit,,,,,No Germination,,,
Jay Dev Plot 3,22/05/2024,Field Visit,,,,,No Germination,,,
Charan Das Plot 1,23/05/2024,Field Visit,,,,,50%,,TRUE,
Charan Das Plot 2,23/05/2024,Field Visit,,,,,50%,,TRUE,
Charan Das Plot 3,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 4,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 5,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 6,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 7,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 8,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 9,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 10,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 11,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 12,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 13,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 14,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 15,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 16,23/05/2024,Field Visit,,,,,40%,,TRUE,
Charan Das Plot 17,23/05/2024,Field Visit,,,,,20%,,TRUE,
Charan Das Plot 18,23/05/2024,Field Visit,,,,,No germination,,TRUE,
Charan Das Plot 19,23/05/2024,Field Visit,,,,,No germination,,TRUE,
Charan Das Plot 20,23/05/2024,Field Visit,,,,,No germination,,,
Nain Singh Plot 1,23/05/2024,Field Visit,,,,,20%,,,
Nain Singh Plot 2,23/05/2024,Field Visit,,,,,20%,,,
Nain Singh Plot 3,23/05/2024,Field Visit,,,,,20%,,,
Ramesh Plot 1,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Ramesh Plot 2,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Ramesh Plot 3,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Ramesh Plot 4,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 1,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 2,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 3,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 1,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 2,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 3,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 4,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 5,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 6,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 7,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dinesh plot 1,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dinesh plot 2,23/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 1,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 2,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 3,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 4,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 5,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 6,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 7,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rajendra Plot 8,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 1,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 2,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 3,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dev Prakash Plot 4,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Rakesh Plot 1,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 2,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 3,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 4,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 5,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 6,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 7,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 8,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 9,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 10,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Rakesh Plot 11,24/05/2024,Field Visit,,,,,20%,channels constructed,,
Jay Dev Plot 1,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Jay Dev Plot 2,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Jay Dev Plot 3,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Dinesh plot 1,24/05/2024,Field Visit,,,,,No germination,channels constructed,,
Charan Das Plot 1,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 2,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 3,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 4,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 5,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 6,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 7,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 8,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 9,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 10,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 11,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 12,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 13,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 14,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 15,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 16,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 17,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 18,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 19,25/05/2024,Field Visit,,,,,80-90%,,,
Charan Das Plot 20,25/05/2024,Field Visit,,,,,80-90%,,,
Ramesh Plot 1,25/05/2024,Field Visit,,,,,80-90%,,,
Ramesh Plot 2,25/05/2024,Field Visit,,,,,80-90%,,,
Ramesh Plot 3,25/05/2024,Field Visit,,,,,80-90%,,,
Ramesh Plot 4,25/05/2024,Field Visit,,,,,80-90%,,,
Nain Singh Plot 1,25/05/2024,Field Visit,,,,,60%,,,
Nain Singh Plot 2,25/05/2024,Field Visit,,,,,60%,,,
Nain Singh Plot 3,25/05/2024,Field Visit,,,,,60%,,,
Nain Singh Plot 4,25/05/2024,Field Visit,,,,,60%,,,
Rakesh Plot 1,25/05/2024,Field Visit,,,,,,,,TRUE
Rakesh Plot 2,25/05/2024,Field Visit,,,,,,,,TRUE
Rakesh Plot 3,25/05/2024,Field Visit,,,,,,,,TRUE
Rakesh Plot 4,25/05/2024,Field Visit,,,,,,,,TRUE
Rakesh Plot 5,25/05/2024,Field Visit,,,,,,,,TRUE
Charan Das Plot 1,27/05/2024,Field Visit,,,,,90%,,,
Charan Das Plot 2,27/05/2024,Field Visit,,,,,91.20%,,,
Charan Das Plot 3,27/05/2024,Field Visit,,,,,92.80%,,,
Charan Das Plot 4,27/05/2024,Field Visit,,,,,95.20%,,,
Charan Das Plot 5,27/05/2024,Field Visit,,,,,95.20%,,,
Charan Das Plot 6,27/05/2024,Field Visit,,,,,93.20%,,,
Charan Das Plot 7,27/05/2024,Field Visit,,,,,91.20%,,,
Charan Das Plot 8,27/05/2024,Field Visit,,,,,95.60%,,,
Charan Das Plot 9,27/05/2024,Field Visit,,,,,94.40%,,,
Charan Das Plot 10,27/05/2024,Field Visit,,,,,94%,,,
Charan Das Plot 11,27/05/2024,Field Visit,,,,,92.80%,,,
Charan Das Plot 12,27/05/2024,Field Visit,,,,,92%,,,
Charan Das Plot 13,27/05/2024,Field Visit,,,,,95.20%,,,
Charan Das Plot 14,27/05/2024,Field Visit,,,,,94.40%,,,
Charan Das Plot 15,27/05/2024,Field Visit,,,,,94%,,,
Charan Das Plot 16,27/05/2024,Field Visit,,,,,80%,,,
Charan Das Plot 17,27/05/2024,Field Visit,,,,,92.80%,,,
Charan Das Plot 18,27/05/2024,Field Visit,,,,,92%,,,
Charan Das Plot 19,27/05/2024,Field Visit,,,,,90%,,,
Charan Das Plot 20,27/05/2024,Field Visit,,,,,91.20%,,,TRUE
Ramesh Plot 1,27/05/2024,Field Visit,,,,,,,,TRUE
Ramesh Plot 2,27/05/2024,Field Visit,,,,,,,,TRUE
Ramesh Plot 3,27/05/2024,Field Visit,,,,,,,,TRUE
Ramesh Plot 4,27/05/2024,Field Visit,,,,,,,,TRUE
Ramesh Plot 1,28/05/2024,Field Visit,,,,,92%,,,
Ramesh Plot 2,28/05/2024,Field Visit,,,,,92.80%,,,
Ramesh Plot 3,28/05/2024,Field Visit,,,,,95.20%,,,
Ramesh Plot 4,28/05/2024,Field Visit,,,,,91.20%,,,
Nain Singh Plot 1,28/05/2024,Field Visit,,,,,96%,,,
Nain Singh Plot 2,28/05/2024,Field Visit,,,,,90%,,,
Nain Singh Plot 3,28/05/2024,Field Visit,,,,,88%,,,
Nain Singh Plot 4,28/05/2024,Field Visit,,,,,98%,,,TRUE
Charan Das Plot 17,28/05/2024,Field Visit,,,,,,,,TRUE
